ITEM;DESTINATARIO_DOACAO;DATA_ENTREGA;CIDADE_DESTINATARIO;PRODUTO;QUANTIDADE;UNIDADE_MEDIDA;VALOR_UNITARIO;VALOR_TOTAL
441;UPAIII24HORASPADRELAZAROPEREIRACR;2020-05-23;SABARA;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
442;UPAJOSÉISABELDONASCIMENTO;2020-05-23;IPATINGA;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
443;UPALAGOADAPRATA;2020-05-23;LAGOA DA PRATA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
444;UPALESTE-BELOHORIZONTE;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
445;UPAMIGUELHENRIQUEMAIA;2020-05-23;SÃO JOAQUIM DE BICAS;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
446;UPANORDESTE-BELOHORIZONTE;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
447;UPANOROESTEIIHOBBELOHORIZONTE;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
448;UPANOVASERRANA;2020-05-23;NOVA SERRANA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
449;UPAOESTE-BELOHORIZONTE;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
450;UPAOLDAKPINHEIRODEREZENDE;2020-05-23;SARZEDO;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
451;UPAPADREROBERTROCORDEIROMARTINS;2020-05-23;DIVINOPOLIS;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;10000;UN;9,9;99000
452;UPAPETROLÂNDIA;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
453;UPAPREFEITOOSVALDOCANDIDODEQUEIROZ;2020-05-23;IGARAPÉ;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
454;UPARESSACA;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
455;UPASANTOANTÔNIODOMONTE;2020-05-23;SANTO ANTÔNIO DO MONTE;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
456;UPASÃOBENEDITO;2020-05-23;UBERABA;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
457;UPASÃOJOÃODELREI;2020-05-23;SÃO JOAO DEL REI;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
458;UPATEOFILOOTONI;2020-05-23;TEÓFILO OTONI;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
459;UPATERESÓPOLIS;2020-05-23;BETIM;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
460;UPATHIAGOCARDOSOSANTOS;2020-05-23;MATEUS LEME;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
461;UPAUNIDADEXVIUPAXVIUNIDADEXVIUPA;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
462;UPAVALDEMARDEASSISBARCELOS;2020-05-23;BRUMADIMNHO;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
463;UPAVARGEMDASFLORES;2020-05-23;CONTAGEM;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
464;UPAVENDANOVA;2020-05-23;BELO HORIZONTE;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,43;433,44
465;7ªRPM;2020-05-23;DIVINOPOLIS;DANONINHO UHT AMENDOA E CACAU 200ML;702;UN;1,66;1165,32
466;7ªRPM;2020-05-23;DIVINOPOLIS;MILNUTRI CEREAL MULTICEREIAIS SUGAR FREE;1080;UN;0,92;993,6
467;7ªRPM;2020-05-23;DIVINOPOLIS;LEITE UHT INTEGRAL 1L CX C/12;120;UN;2,219;266,28
468;7ªRPM;2020-05-23;DIVINOPOLIS;CESTA BÁSICA VLI;30;UN;36,37;1091,1
469;7ªRPM;2020-05-23;DIVINOPOLIS;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
470;7ªRPM;2020-05-23;DIVINOPOLIS;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;800;UN;9,9;7920
471;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-05-24;BELO HORIZONTE;VOUCHERS DE CORRIDAS;1000;UN;300;3e+05
472;GABINETEMILITAR;2020-05-24;BELO HORIZONTE;LICENÇA DE USO SOFTWARE;1;UN;15750;15750
473;SAMU-GOVERNADORVALADARES;2020-05-24;GOVERNADOR VALADARES;MACACAO CAPUZ TYVEK G FIAT;50;UN;28,67;1433,5
474;SEGOV-SECRETARIADEESTADODEGOVERNO;2020-05-24;BELO HORIZONTE;LICENÇA DE USO DE SOFTWARE TELEMEDICINA;1;UN;354000;354000
475;SEPLAG;2020-05-24;BELO HORIZONTE;LICENÇA DE USO SOFTWARE PLATAFORMA NEOWA;1;UN;626505,28;626505,28
476;CISRUN-CONSÓRCIOINTERMUNICIPALDESAÚDE;2020-05-27;MONTES CLAROS;LUVA DESC NITRIL AZ G CX C/300 VLI;3000;UN;0,27;810
477;HOSPITALBOMSAMARITANO;2020-05-27;TEÓFILO OTONI;MASCARA DE PROTECAO;2500;UN;4,396;10990
478;HOSPITALBOMSAMARITANO;2020-05-27;TEÓFILO OTONI;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
479;HOSPITALDAPOLICIAMILITAR;2020-05-27;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
480;HOSPITALDAPOLICIAMILITAR;2020-05-27;BELO HORIZONTE;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;600;UN;9,9;5940
481;PREFEITURADEBAEPENDI;2020-05-27;BAEPENDI;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;8;UN;15,37;122,96
482;PREFEITURADEBELOHORIZONTE;2020-05-27;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
483;PREFEITURADEBELOHORIZONTE;2020-05-27;BELO HORIZONTE;LUVA DESC NITRIL AZ G CX C/300 VLI;1800;UN;0,27;486
484;PREFEITURADEBELOHORIZONTE;2020-05-27;BELO HORIZONTE;MASCARA DE PROTECAO;400;UN;4,396;1758,4
485;PREFEITURADEBRAZOPOLIS;2020-05-27;BRAZOPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
486;PREFEITURADECANDEIAS;2020-05-27;CANDEIAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
487;PREFEITURADEIPANEMA;2020-05-27;IPANEMA;MASCARA DE PROTECAO;500;UN;4,396;2198
488;PREFEITURADEIPANEMA;2020-05-27;IPANEMA;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
489;PREFEITURADEIPANEMA;2020-05-27;IPANEMA;LUVA DESC NITRIL AZ G CX C/300 VLI;600;UN;0,27;162
490;PREFEITURADEIPANEMA;2020-05-27;IPANEMA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;400;UN;9,9;3960
491;PREFEITURADEITAUNA;2020-05-27;ITAUNA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
492;PREFEITURADEJABOTICATUBAS;2020-05-27;JABOTICATUBAS;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
493;PREFEITURADEJABOTICATUBAS;2020-05-27;JABOTICATUBAS;LUVA DESC NITRIL AZ G CX C/300 VLI;3000;UN;0,27;810
494;PREFEITURADEJABOTICATUBAS;2020-05-27;JABOTICATUBAS;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;200;UN;9,9;1980
495;PREFEITURADELADAINHA;2020-05-27;LADAINHA;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
496;PREFEITURADEMONTEALEGREDEMINAS;2020-05-27;MONTE ALEGRE DE MINAS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
497;PREFEITURADESANTOANTONIODOAMPARO;2020-05-27;SANTO ANTÔNIO DO AMPARO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
498;PREFEITURADETEOFILOOTONI;2020-05-27;TEOFILO OTONI;LUVA DESC NITRIL AZ G CX C/300 VLI;3000;UN;0,27;810
499;SAMUCONTAGEM-FUNDOMUNICIPALDESAÚDE;2020-05-27;CONTAGEM;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
500;SAMUCONTAGEM-FUNDOMUNICIPALDESAÚDE;2020-05-27;CONTAGEM;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
501;SAMUDEBETIM;2020-05-27;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;75;LT;2,83;212,25
502;SAMUDEBETIM;2020-05-27;BELO HORIZONTE;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
503;SECRETARIAMUNDESAÚDEDEGOVVALADARES;2020-05-27;GOVERNADOR VALADARES;LUVA DESC NITRIL AZ G CX C/300 VLI;3000;UN;0,27;810
504;UPADR.JOSÉADELSONPIRESMOREIRA;2020-05-27;NOVA LIMA;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,432;127,01
505;UPANORTE-JUIZDEFORA;2020-05-27;JUIZ DE FORA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;10000;UN;9,9;99000
506;UPAPADREROBERTROCORDEIROMARTINS;2020-05-27;DIVINOPOLIS;ALCOOL GEL AMBEV PET 190G CX C/21;1008;UN;0,432;435,46
507;UPASANTALUZIA;2020-05-27;JUIZ DE FORA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;10000;UN;9,9;99000
508;UPASÃOPEDRO;2020-05-27;JUIZ DE FORA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;10000;UN;9,9;99000
509;UPADR.JOSÉADELSONPIRESMOREIRA;2020-05-28;NOVA LIMA;ALCOOL GEL AMBEV PET 190G CX C/21;294;UN;0,43;126,42
510;PREFEITURADEUNAI;2020-05-29;UNAI;MONITORES MULTIPARAMETRICOS HOSPITALAR;8;UN;18000;144000
511;GABINETEMILITAR;2020-06-01;BELO HORIZONTE;OLEO DIESEL B S10;5000;UN;2,659;13299
512;GABINETEMILITAR;2020-06-01;BELO HORIZONTE;GASOLINA COMUM;10000;LT;3,58;35800
513;CIS-URGOESTE;2020-06-02;DIVINOPOLIS;ALCOOL EM GEL 5L;120;LT;16;1920
514;UPAPADREROBERTROCORDEIROMARTINS;2020-06-02;DIVINOPOLIS;ALCOOL EM GEL 5L;120;LT;16;1920
515;NOVAUPAJK-CONTAGEM;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
516;PREFEITURADEITAUNA;2020-06-03;ITAUNA;MASCARA DE PROTECAO;1000;UN;4,396;4396
517;PREFEITURADEITAUNA;2020-06-03;ITAUNA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
518;PREFEITURADEITAUNA;2020-06-03;ITAUNA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;800;UN;9,9;7920
519;PREFEITURADERIOPOMBA;2020-06-03;RIO POMBA;MASCARA DE PROTECAO;2000;UN;4,396;8792
520;PREFEITURADERIOPOMBA;2020-06-03;RIO POMBA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
521;PREFEITURADERIOPOMBA;2020-06-03;RIO POMBA;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
522;PREFEITURADERIOPOMBA;2020-06-03;RIO POMBA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
523;PREFEITURADESETELAGOAS;2020-06-03;SETE LAGOAS;ALCOOL EM GEL 5L;120;LT;16;1920
524;PREFEITURADESETELAGOAS;2020-06-03;SETE LAGOAS;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
525;PREFEITURADESETELAGOAS;2020-06-03;SETE LAGOAS;MASCARA DESCARTAVEL;500;UN;2,74;1370
526;PREFEITURADETAPARUBA;2020-06-03;TAPARUBA;MASCARA DE PROTECAO;2000;UN;4,396;8792
527;PREFEITURADETAPARUBA;2020-06-03;TAPARUBA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
528;PREFEITURADETAPARUBA;2020-06-03;TAPARUBA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1200;UN;9,9;11880
529;SAMUCONTAGEM-FUNDOMUNICIPALDESAÚDE;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
530;SAMUDEBETIM;2020-06-03;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
531;UNIDADEAIALEXANDRESILVAADINIZALTE;2020-06-03;BETIM;ALCOOL EM GEL 5L;120;LT;16;1920
532;UNIDADEAINILDANOGUEIRADOAANDRADE;2020-06-03;BETIM;ALCOOL EM GEL 5L;120;LT;16;1920
533;UNIDADEAISETEDESETEMBRO;2020-06-03;BETIM;ALCOOL EM GEL 5L;120;LT;16;1920
534;UPADR.JUVENALPAIVA;2020-06-03;SETE LAGOAS;ALCOOL EM GEL 5L;120;LT;16;1920
535;UPADR.JUVENALPAIVA;2020-06-03;SETE LAGOAS;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
536;UPADR.JUVENALPAIVA;2020-06-03;SETE LAGOAS;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;400;UN;9,9;3960
537;UPADR.JUVENALPAIVA;2020-06-03;SETE LAGOAS;MASCARA DESCARTAVEL;500;UN;2,74;1370
538;UPAPETROLÂNDIA;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
539;UPARESSACA;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
540;UPATERESÓPOLIS;2020-06-03;BETIM;ALCOOL EM GEL 5L;120;LT;16;1920
541;UPAUNIDADEXVIUPAXVIUNIDADEXVIUPA;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
542;UPAVARGEMDASFLORES;2020-06-03;CONTAGEM;ALCOOL EM GEL 5L;120;LT;16;1920
543;PREFEITURADEBELOHORIZONTE;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
544;PREFEITURADECATAGUASES;2020-06-04;CATAGUASES;MASCARA TIPO CIRURGICA TNT > 95% BFE;200;UN;3,085;617,08
545;PREFEITURADECATAGUASES;2020-06-04;CATAGUASES;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
546;PREFEITURADECATAGUASES;2020-06-04;CATAGUASES;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
547;PREFEITURADECATAGUASES;2020-06-04;CATAGUASES;MASCARA DESCARTAVEL;1000;UN;2,74;2740
548;PREFEITURADEIPANEMA;2020-06-04;IPANEMA;MASCARA TIPO CIRURGICA TNT > 95% BFE;200;UN;3,085;617,08
549;PREFEITURADEIPANEMA;2020-06-04;IPANEMA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
550;PREFEITURADEIPANEMA;2020-06-04;IPANEMA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
551;PREFEITURADEIPANEMA;2020-06-04;IPANEMA;MASCARA DESCARTAVEL;1000;UN;2,74;2740
552;PREFEITURADEMARIANA;2020-06-04;MARIANA;ALCOOL EM GEL 5L;120;LT;16;1920
553;PREFEITURADENOVASERRANA;2020-06-04;NOVA SERRANA;ALCOOL EM GEL 5L;120;LT;16;1920
554;PREFEITURADEOUROPRETO;2020-06-04;OURO PRETO;ALCOOL EM GEL 5L;120;LT;16;1920
555;PREFEITURADEPASSABEM;2020-06-04;PASSABEM;MASCARA TIPO CIRURGICA TNT > 95% BFE;200;UN;3,085;617,08
556;PREFEITURADEPASSABEM;2020-06-04;PASSABEM;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
557;PREFEITURADEPASSABEM;2020-06-04;PASSABEM;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
558;PREFEITURADEPASSABEM;2020-06-04;PASSABEM;MASCARA DESCARTAVEL;1000;UN;2,74;2740
559;PREFEITURADEPATOSDEMINAS;2020-06-04;PATOS DE MINAS;ALCOOL EM GEL 5L;240;LT;16;3840
560;PREFEITURADEPOCOSDECALDAS;2020-06-04;POÇOS DE CALDAS;ALCOOL EM GEL 5L;260;LT;16;4160
561;PREFEITURADESALINAS;2020-06-04;SALINAS;ALCOOL EM GEL 5L;120;LT;16;1920
562;PREFEITURADETEOFILOOTONI;2020-06-04;TEOFILO OTONI;ALCOOL EM GEL 5L;240;LT;16;3840
563;PREFEITURADEUBERABA;2020-06-04;UBERABA;ALCOOL EM GEL 5L;360;LT;16;5760
564;PREFEITURADEVARGINHA;2020-06-04;VARGINHA;ALCOOL EM GEL 5L;240;LT;16;3840
565;UPABARREIRO;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
566;UPACELSOMATOSSILVA;2020-06-04;ITABIRITO;ALCOOL EM GEL 5L;120;LT;16;1920
567;UPACENTROSUL-BELOHORIZONTE;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
568;UPALESTE-BELOHORIZONTE;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
569;UPANORDESTE-BELOHORIZONTE;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
570;UPAOESTE-BELOHORIZONTE;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;140;LT;16;2240
571;UPAPASSOS;2020-06-04;PASSOS;ALCOOL EM GEL 5L;120;LT;16;1920
572;UPASANTOANTÔNIODOMONTE;2020-06-04;SANTO ANTÔNIO DO MONTE;ALCOOL EM GEL 5L;120;LT;16;1920
573;UPASÃOJOÃODELREI;2020-06-04;SÃO JOAO DEL REI;ALCOOL EM GEL 5L;120;LT;16;1920
574;UPAVENDANOVA;2020-06-04;BELO HORIZONTE;ALCOOL EM GEL 5L;120;LT;16;1920
575;CORPODEBOMBEIROSMILITARDEMINASGERA;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
576;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;450;UN;2,5;1125
577;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;400;UN;2,5;1000
578;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;200;UN;2,5;500
579;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;16;UN;2,5;40
580;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;500;UN;2,5;1250
581;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;200;UN;2,5;500
582;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
583;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-05;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;300;UN;2,5;750
584;PREFEITURADEBAMBUI;2020-06-05;BAMBUI;MASCARA TIPO CIRURGICA TNT > 95% BFE;200;UN;3,085;617,08
585;PREFEITURADEBAMBUI;2020-06-05;BAMBUI;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
586;PREFEITURADEBAMBUI;2020-06-05;BAMBUI;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;1000;UN;9,9;9900
587;PREFEITURADEBAMBUI;2020-06-05;BAMBUI;MASCARA DESCARTAVEL;1000;UN;2,74;2740
588;PREFEITURADEFERNANDESTOURINHO;2020-06-05;FERNANDES TOURINHO;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
589;PREFEITURADEFORTUNADEMINAS;2020-06-05;FORTUNA DE MINAS;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
590;PREFEITURADEGUANHAES;2020-06-05;GUANHAES;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
591;PREFEITURADEITAPEVA;2020-06-05;ITAPEVA;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
592;PREFEITURADEJEQUITIBA;2020-06-05;JEQUITIBA;MASCARA TRICOLINE 100% ALCODAO;1800;UN;2,5;4500
593;PREFEITURADENOVAUNIAO;2020-06-05;NOVA UNIAO;MASCARA TRICOLINE 100% ALCODAO;500;UN;2,5;1250
594;PREFEITURADEPRESIDENTEKUBITSCHEK;2020-06-05;PRESIDENTE KUBITSCHEK;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
595;PREFEITURADESANTAMARIADEITABIRA;2020-06-05;SANTA MARIA DE ITABIRA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
596;PREFEITURADESIMONESIATEL:3333361537COD:799;2020-06-05;SIMONESIA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
597;PREFEITURADETARUMIRIM;2020-06-05;TARUMIRIM;MASCARA TRICOLINE 100% ALCODAO;600;UN;2,5;1500
598;PREFEITURADETOMBOS;2020-06-05;TOMBOS;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
599;PREFEITURADEUBERLANDIA;2020-06-05;UBERLÂNDIA;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;6000;UN;9,9;59400
600;PREFEITURADEUNAI;2020-06-05;UNAI;MONITORES MULTIPARAMETRICOS HOSPITALAR;1;UN;19000;19000
601;CEDEC-CORDENADORIAESTADUALDEDEFESA;2020-06-08;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
602;GABINETEMILITAR;2020-06-08;BELO HORIZONTE;MASCARA DE PROTECAO;50;UN;4,396;219,8
603;NOVAUPAJK-CONTAGEM;2020-06-08;CONTAGEM;MASCARA TIPO CIRURGICA TNT > 95% BFE;8000;UN;3,085;24680
604;NOVAUPAJK-CONTAGEM;2020-06-08;CONTAGEM;ALCOOL GLICERINADO 70% - GALÃO 5L;55;LT;2,83;155,65
605;NOVAUPAJK-CONTAGEM;2020-06-08;CONTAGEM;LUVA DESC NITRIL AZ G CX C/300 VLI;900;UN;0,27;243
606;POLICIACIVILDOESTADODEMINASGERAIS;2020-06-08;BELO HORIZONTE;ALCOOL GLICERINADO 70% - GALÃO 5L;5;LT;2,83;14,15
607;POLICIACIVILDOESTADODEMINASGERAIS;2020-06-08;BELO HORIZONTE;LUVA DESC NITRIL AZ G CX C/300 VLI;300;UN;0,27;81
608;POLICIACIVILDOESTADODEMINASGERAIS;2020-06-08;BELO HORIZONTE;RESPIRADOR DESCARTAVEL DOBRAVEL PFF-2 AZ;200;UN;9,9;1980
609;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-08;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;400;UN;2,5;1000
610;POLICIAMILITARDOESTADODEMINASGERAI;2020-06-08;BELO HORIZONTE;MASCARA TRICOLINE 100% ALCODAO;500;UN;2,5;1250
611;PREFEITURADEACUCENA;2020-06-08;AÇUCENA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
612;PREFEITURADEACUCENA;2020-06-08;AÇUCENA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
613;PREFEITURADEACUCENA;2020-06-08;AÇUCENA;MASCARA DESCARTAVEL;1000;UN;2,74;2740
614;PREFEITURADEAGUACOMPRIDA;2020-06-08;AGUA COMPRIDA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
615;PREFEITURADEAGUACOMPRIDA;2020-06-08;AGUA COMPRIDA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
616;PREFEITURADEAGUACOMPRIDA;2020-06-08;AGUA COMPRIDA;MASCARA DESCARTAVEL;1000;UN;2,74;2740
617;PREFEITURADEBERILO;2020-06-08;BERILO;MASCARA TRICOLINE 100% ALCODAO;1600;UN;2,5;4000
618;PREFEITURADEBERILO;2020-06-08;BERILO;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
619;PREFEITURADEBERILO;2020-06-08;BERILO;MASCARA DESCARTAVEL;1000;UN;2,74;2740
620;PREFEITURADEBERIZAL;2020-06-08;BERIZAL;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
621;PREFEITURADEBERIZAL;2020-06-08;BERIZAL;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
622;PREFEITURADEBERIZAL;2020-06-08;BERIZAL;MASCARA DESCARTAVEL;1000;UN;2,74;2740
623;PREFEITURADEBIASFORTES;2020-06-08;BIAS FORTES;MASCARA TRICOLINE 100% ALCODAO;1500;UN;2,5;3750
624;PREFEITURADEBIASFORTES;2020-06-08;BIAS FORTES;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
625;PREFEITURADEBIASFORTES;2020-06-08;BIAS FORTES;MASCARA DESCARTAVEL;1000;UN;2,74;2740
626;PREFEITURADECAJURI;2020-06-08;CAJURI;MASCARA TRICOLINE 100% ALCODAO;400;UN;2,5;1000
627;PREFEITURADECAJURI;2020-06-08;CAJURI;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
628;PREFEITURADECAJURI;2020-06-08;CAJURI;MASCARA DESCARTAVEL;1000;UN;2,74;2740
629;PREFEITURADECARANDAI;2020-06-08;CARANDAI;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
630;PREFEITURADECARANDAI;2020-06-08;CARANDAI;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
631;PREFEITURADECARANDAI;2020-06-08;CARANDAI;MASCARA DESCARTAVEL;1000;UN;2,74;2740
632;PREFEITURADECARMESIATEL:3138641120COD:155;2020-06-08;CARMESIA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
633;PREFEITURADECONCEICAODEIPANEMA;2020-06-08;CONCEIÇAO DE IPANEMA;MASCARA TRICOLINE 100% ALCODAO;1000;UN;2,5;2500
634;PREFEITURADECONCEICAODEIPANEMA;2020-06-08;CONCEIÇAO DE IPANEMA;ALCOOL GLICERINADO 70% - GALÃO 5L;50;LT;2,83;141,5
635;PREFEITURADECONCEICAODEIPANEMA;2020-06-08;CONCEIÇAO DE IPANEMA;MASCARA DESCARTAVEL;1000;UN;2,74;2740
